##;##
@LiveGraph demo file.
Generation;Best;Average;Avg.worst-100;Avg.worst-in-Generations 100
319;1110;1288;1561;2225
320;1110;1283;1540;2225
321;1110;1287;1563;2225
322;1110;1291;1585;2225
323;1110;1289;1578;2225
324;1110;1287;1566;2225
325;1110;1290;1583;2225
326;1110;1275;1516;2225
327;1110;1278;1531;2225
328;1110;1289;1579;2225
329;1110;1283;1558;2225
330;1110;1282;1552;2225
331;1110;1285;1575;2225
332;1110;1294;1618;2225
333;1110;1277;1550;2225
334;1110;1284;1577;2225
335;1110;1277;1540;2225
336;1110;1284;1583;2225
337;1110;1283;1575;2225
338;1110;1280;1564;2225
339;1110;1273;1531;2225
340;1110;1276;1553;2225
341;1110;1281;1579;2225
342;1110;1284;1582;2225
343;1110;1288;1608;2225
344;1110;1274;1550;2225
345;1110;1277;1565;2225
346;1110;1272;1548;2225
347;1110;1272;1542;2225
348;1110;1277;1558;2225
349;1110;1270;1536;2225
350;1110;1279;1594;2225
351;1110;1283;1608;2225
352;1110;1274;1571;2225
353;1110;1270;1544;2225
354;1110;1269;1546;2225
355;1110;1262;1517;2225
356;1110;1267;1549;2225
357;1110;1265;1537;2225
358;1110;1265;1542;2225
359;1110;1268;1554;2225
360;1110;1259;1517;2225
361;1110;1264;1536;2225
362;1110;1265;1546;2225
363;1110;1265;1560;2225
364;1110;1264;1552;2225
365;1110;1263;1549;2225
366;1110;1270;1585;2225
367;1110;1269;1584;2225
368;1110;1262;1551;2225
369;1110;1263;1551;2225
370;1110;1256;1527;2225
371;1107;1250;1495;2225
372;1107;1256;1516;2225
373;1107;1268;1582;2225
374;1107;1257;1536;2225
375;1107;1265;1572;2225
376;1107;1263;1565;2225
377;1107;1250;1504;2225
378;1107;1254;1525;2225
379;1107;1258;1545;2225
380;1107;1256;1542;2225
381;1107;1257;1543;2225
382;1107;1248;1502;2225
383;1107;1259;1554;2225
384;1107;1250;1517;2225
385;1107;1252;1526;2225
386;1107;1251;1518;2225
387;1107;1256;1557;2225
388;1107;1259;1561;2225
389;1107;1259;1567;2225
390;1107;1253;1532;2225
391;1107;1247;1507;2225
392;1107;1253;1536;2225
393;1107;1256;1551;2225
394;1107;1251;1532;2225
395;1107;1250;1534;2225
